random_crop_id,image_path,gpt_review_overlay,gpt_has_cloud,gpt_box_count,gpt_max_confidence,gpt_visual_types,human_quick_label,human_notes,sheet_id,sheet_title,page_number
260219_-_VA_Biloxi_Rev_4_Architectural_1_1fbe070b_p0000_random_0009,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops\images\260219_-_VA_Biloxi_Rev_4_Architectural_1_1fbe070b_p0000_random_0009.png,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops\gpt_review\260219_-_VA_Biloxi_Rev_4_Architectural_1_1fbe070b_p0000_random_0009.jpg,False,0,0,,,,AE102,2ND FLOOR PLAN - SHELL,1
260219_-_VA_Biloxi_Rev_4_Architectural_1_1fbe070b_p0000_random_0081,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops\images\260219_-_VA_Biloxi_Rev_4_Architectural_1_1fbe070b_p0000_random_0081.png,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops\gpt_review\260219_-_VA_Biloxi_Rev_4_Architectural_1_1fbe070b_p0000_random_0081.jpg,False,0,0,,,,AE102,2ND FLOOR PLAN - SHELL,1
260219_-_VA_Biloxi_Rev_4_Architectural_1_1fbe070b_p0000_random_0123,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops\images\260219_-_VA_Biloxi_Rev_4_Architectural_1_1fbe070b_p0000_random_0123.png,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops\gpt_review\260219_-_VA_Biloxi_Rev_4_Architectural_1_1fbe070b_p0000_random_0123.jpg,True,3,0.93,intersected;partial;thin,,,AE102,2ND FLOOR PLAN - SHELL,1
260219_-_VA_Biloxi_Rev_4_Architectural_1_1fbe070b_p0000_random_0171,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops\images\260219_-_VA_Biloxi_Rev_4_Architectural_1_1fbe070b_p0000_random_0171.png,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops\gpt_review\260219_-_VA_Biloxi_Rev_4_Architectural_1_1fbe070b_p0000_random_0171.jpg,False,0,0,,,,AE102,2ND FLOOR PLAN - SHELL,1
260219_-_VA_Biloxi_Rev_4_Architectural_1_1fbe070b_p0000_random_0195,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops\images\260219_-_VA_Biloxi_Rev_4_Architectural_1_1fbe070b_p0000_random_0195.png,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops\gpt_review\260219_-_VA_Biloxi_Rev_4_Architectural_1_1fbe070b_p0000_random_0195.jpg,False,0,0,,,,AE102,2ND FLOOR PLAN - SHELL,1
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0021,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0021.png,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops\gpt_review\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0021.jpg,False,0,0,,,,PL302,EXISTING 1ST FLOOR - MED GAS,1
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0039,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0039.png,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops\gpt_review\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0039.jpg,False,0,0,,,,PL302,EXISTING 1ST FLOOR - MED GAS,1
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0045,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0045.png,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops\gpt_review\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0045.jpg,False,0,0,,,,PL302,EXISTING 1ST FLOOR - MED GAS,1
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0063,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0063.png,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops\gpt_review\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0063.jpg,False,0,0,,,,PL302,EXISTING 1ST FLOOR - MED GAS,1
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0099,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0099.png,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops\gpt_review\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0099.jpg,False,0,0,,,,PL302,EXISTING 1ST FLOOR - MED GAS,1
