random_crop_id,image_path,sheet_id,sheet_title,page_number,ink_ratio,human_quick_label,human_notes
260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0005_random_0001,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0005_random_0001.png,S142,Project Number,6,0.025897,,
260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_random_0002,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_random_0002.png,P-418,"1/2"" CW,",173,0.098974,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0003,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0003.png,PL302,EXISTING 1ST FLOOR - MED GAS,1,0.043007,,
Revision_Set_7_37f6066a_p0003_random_0004,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_Set_7_37f6066a_p0003_random_0004.png,C10,"PLATE 5/16""X4""X0'-6""",4,0.059903,,
Revision_1_-_Drawing_Changes_6cbee960_p0043_random_0005,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_1_-_Drawing_Changes_6cbee960_p0043_random_0005.png,MH301,VAV,44,0.14004,,
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0020_random_0006,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0020_random_0006.png,P-418,"1/2"" CW,",21,0.111824,,
260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0007,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0007.png,S140,"(E) BRACE FRAME, STITCH WELD CHANNEL TO TOP TUBE OF FRAME WITH BEVEL",5,0.023966,,
260313_-_VA_Biloxi_Rev_3_ff19da68_p0179_random_0008,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0179_random_0008.png,P-418,CS-1,180,0.0034,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_random_0009,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_random_0009.png,PL305,4TH FLOOR - MED GAS,2,0.004798,,
Revision_Set_7_37f6066a_p0003_random_0010,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_Set_7_37f6066a_p0003_random_0010.png,C10,"PLATE 5/16""X4""X0'-6""",4,0.018639,,
Revision_1_-_Drawing_Changes_6cbee960_p0032_random_0011,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_1_-_Drawing_Changes_6cbee960_p0032_random_0011.png,P-418,"1/2"" CW,",33,0.010841,,
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0025_random_0012,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0025_random_0012.png,P-809,TP-2,26,0.004168,,
260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0013,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0013.png,S140,"(E) BRACE FRAME, STITCH WELD CHANNEL TO TOP TUBE OF FRAME WITH BEVEL",5,0.022848,,
260313_-_VA_Biloxi_Rev_3_ff19da68_p0192_random_0014,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0192_random_0014.png,EP101,GFI,193,0.008515,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0015,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0015.png,PL302,EXISTING 1ST FLOOR - MED GAS,1,0.019977,,
Revision_Set_7_37f6066a_p0002_random_0016,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_Set_7_37f6066a_p0002_random_0016.png,S140,EXISTING RUBBISH CHUTE TO BE MODIFIED FOR NEW OPENING - REFER,3,0.023513,,
Revision_1_-_Drawing_Changes_6cbee960_p0025_random_0017,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\Revision_1_-_Drawing_Changes_6cbee960_p0025_random_0017.png,AE514,ALUMINUM WINDOW,26,0.020644,,
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0015_random_0018,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0015_random_0018.png,A5109D,7.1,16,0.09286,,
260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0005_random_0019,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0005_random_0019.png,S142,Project Number,6,0.43298,,
260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_random_0020,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_random_0020.png,P-418,"1/2"" CW,",173,0.163129,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0003_random_0021,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0003_random_0021.png,PL307,ATTIC - MED GAS,4,0.033744,,
