cloud_roi_id,image_path,label_path,api_label_path,api_confidence,visual_type,has_cloud,accepted_box_count,reason_for_selection,source_batch,cloud_likeness,contains_marker
260313_-_VA_Biloxi_Rev_3_ff19da68_p0054_m003,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0054_m003.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\260313_-_VA_Biloxi_Rev_3_ff19da68_p0054_m003.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\260313_-_VA_Biloxi_Rev_3_ff19da68_p0054_m003.txt,0.99,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.8285,True
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0023_m002,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0023_m002.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0023_m002.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0023_m002.txt,0.99,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.8105,True
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0023_m007,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0023_m007.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0023_m007.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0023_m007.txt,0.99,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.7973,True
260313_-_VA_Biloxi_Rev_3_ff19da68_p0174_m003,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0174_m003.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\260313_-_VA_Biloxi_Rev_3_ff19da68_p0174_m003.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\260313_-_VA_Biloxi_Rev_3_ff19da68_p0174_m003.txt,0.99,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.74,True
Revision_1_-_Drawing_Changes_6cbee960_p0050_m003,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\Revision_1_-_Drawing_Changes_6cbee960_p0050_m003.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\Revision_1_-_Drawing_Changes_6cbee960_p0050_m003.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0050_m003.txt,0.99,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.7156,True
260313_-_VA_Biloxi_Rev_3_ff19da68_p0182_m006,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0182_m006.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\260313_-_VA_Biloxi_Rev_3_ff19da68_p0182_m006.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\260313_-_VA_Biloxi_Rev_3_ff19da68_p0182_m006.txt,0.99,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.7116,True
260313_-_VA_Biloxi_Rev_3_ff19da68_p0180_m002,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0180_m002.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\260313_-_VA_Biloxi_Rev_3_ff19da68_p0180_m002.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\260313_-_VA_Biloxi_Rev_3_ff19da68_p0180_m002.txt,0.99,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.6706,True
260313_-_VA_Biloxi_Rev_3_ff19da68_p0180_m003,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0180_m003.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\260313_-_VA_Biloxi_Rev_3_ff19da68_p0180_m003.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\260313_-_VA_Biloxi_Rev_3_ff19da68_p0180_m003.txt,0.99,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.6706,True
Revision_1_-_Drawing_Changes_6cbee960_p0046_m026,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\Revision_1_-_Drawing_Changes_6cbee960_p0046_m026.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\Revision_1_-_Drawing_Changes_6cbee960_p0046_m026.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0046_m026.txt,0.99,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.625,True
Revision_1_-_Drawing_Changes_6cbee960_p0048_m047,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\Revision_1_-_Drawing_Changes_6cbee960_p0048_m047.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\Revision_1_-_Drawing_Changes_6cbee960_p0048_m047.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0048_m047.txt,0.99,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.5311,True
Revision_1_-_Drawing_Changes_6cbee960_p0010_m002,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\Revision_1_-_Drawing_Changes_6cbee960_p0010_m002.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\Revision_1_-_Drawing_Changes_6cbee960_p0010_m002.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0010_m002.txt,0.98,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.8422,True
260313_-_VA_Biloxi_Rev_3_ff19da68_p0054_m004,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0054_m004.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\260313_-_VA_Biloxi_Rev_3_ff19da68_p0054_m004.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\260313_-_VA_Biloxi_Rev_3_ff19da68_p0054_m004.txt,0.98,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.8285,True
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m005,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m005.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m005.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m005.txt,0.98,bold,True,2,bold_easy_high_confidence_positive,batch_001_priority_train,0.8055,True
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0023_m004,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0023_m004.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0023_m004.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0023_m004.txt,0.98,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.8037,True
260313_-_VA_Biloxi_Rev_3_ff19da68_p0054_m005,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0054_m005.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\260313_-_VA_Biloxi_Rev_3_ff19da68_p0054_m005.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\260313_-_VA_Biloxi_Rev_3_ff19da68_p0054_m005.txt,0.98,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.7958,True
Revision_1_-_Drawing_Changes_6cbee960_p0043_m002,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\Revision_1_-_Drawing_Changes_6cbee960_p0043_m002.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\Revision_1_-_Drawing_Changes_6cbee960_p0043_m002.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0043_m002.txt,0.98,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.7896,True
Revision_1_-_Drawing_Changes_6cbee960_p0048_m003,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\Revision_1_-_Drawing_Changes_6cbee960_p0048_m003.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\Revision_1_-_Drawing_Changes_6cbee960_p0048_m003.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0048_m003.txt,0.98,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.7889,True
Revision_1_-_Drawing_Changes_6cbee960_p0008_m005,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\Revision_1_-_Drawing_Changes_6cbee960_p0008_m005.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\Revision_1_-_Drawing_Changes_6cbee960_p0008_m005.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0008_m005.txt,0.98,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.7849,True
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m018,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m018.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m018.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m018.txt,0.98,bold,True,2,bold_easy_high_confidence_positive,batch_001_priority_train,0.7825,True
Revision_1_-_Drawing_Changes_6cbee960_p0010_m009,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\Revision_1_-_Drawing_Changes_6cbee960_p0010_m009.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\Revision_1_-_Drawing_Changes_6cbee960_p0010_m009.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0010_m009.txt,0.98,bold,True,2,bold_easy_high_confidence_positive,batch_001_priority_train,0.7821,True
Revision_1_-_Drawing_Changes_6cbee960_p0043_m004,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\Revision_1_-_Drawing_Changes_6cbee960_p0043_m004.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\Revision_1_-_Drawing_Changes_6cbee960_p0043_m004.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0043_m004.txt,0.98,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.7765,True
Revision_1_-_Drawing_Changes_6cbee960_p0035_m009,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\Revision_1_-_Drawing_Changes_6cbee960_p0035_m009.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\Revision_1_-_Drawing_Changes_6cbee960_p0035_m009.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0035_m009.txt,0.98,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.7734,True
Revision_1_-_Drawing_Changes_6cbee960_p0043_m006,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\Revision_1_-_Drawing_Changes_6cbee960_p0043_m006.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\Revision_1_-_Drawing_Changes_6cbee960_p0043_m006.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0043_m006.txt,0.98,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.7694,True
Revision_1_-_Drawing_Changes_6cbee960_p0007_m027,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\Revision_1_-_Drawing_Changes_6cbee960_p0007_m027.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\Revision_1_-_Drawing_Changes_6cbee960_p0007_m027.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0007_m027.txt,0.98,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.767,True
Revision_1_-_Drawing_Changes_6cbee960_p0028_m069,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\Revision_1_-_Drawing_Changes_6cbee960_p0028_m069.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\Revision_1_-_Drawing_Changes_6cbee960_p0028_m069.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0028_m069.txt,0.98,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.7636,True
Revision_1_-_Drawing_Changes_6cbee960_p0048_m016,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\Revision_1_-_Drawing_Changes_6cbee960_p0048_m016.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\Revision_1_-_Drawing_Changes_6cbee960_p0048_m016.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0048_m016.txt,0.98,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.7596,True
Revision_1_-_Drawing_Changes_6cbee960_p0035_m014,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\Revision_1_-_Drawing_Changes_6cbee960_p0035_m014.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\Revision_1_-_Drawing_Changes_6cbee960_p0035_m014.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0035_m014.txt,0.98,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.7547,True
Revision_1_-_Drawing_Changes_6cbee960_p0046_m003,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\Revision_1_-_Drawing_Changes_6cbee960_p0046_m003.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\Revision_1_-_Drawing_Changes_6cbee960_p0046_m003.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0046_m003.txt,0.98,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.7529,True
Revision_1_-_Drawing_Changes_6cbee960_p0015_m005,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_roi_images\Revision_1_-_Drawing_Changes_6cbee960_p0015_m005.png,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\cloud_labels_reviewed\Revision_1_-_Drawing_Changes_6cbee960_p0015_m005.txt,C:\Users\brochardgm\Desktop\kevision\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0015_m005.txt,0.98,bold,True,1,bold_easy_high_confidence_positive,batch_001_priority_train,0.7523,True
