cloud_roi_id,crop_box_page,crop_size,human_notes,human_quick_label,image_path,ink_ratio,page_index,page_number,pdf_path,pdf_stem,random_crop_id,render_path,roi_image_path,sheet_id,sheet_title,source_id,source_page_index,source_page_key,revision_group,label_path,api_label_path,source_image_path,source_batch,expansion_bucket
Revision_1_-_Drawing_Changes_6cbee960_p0003_random_0160,"[8514, 805, 9538, 1829]",1024,,,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0003_random_0160.png,0.012955,3,4,F:\Desktop\m\projects\kevision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,Revision #1 - Drawing Changes,Revision_1_-_Drawing_Changes_6cbee960_p0003_random_0160,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\rasterized_pages\Revision_1_-_Drawing_Changes_6cbee960_p0003.png,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0003_random_0160.png,S142,"83'-7""",Revision_1_-_Drawing_Changes,3,Revision_1_-_Drawing_Changes:p0003,Revision #1 - Drawing Changes,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\labels\Revision_1_-_Drawing_Changes_6cbee960_p0003_random_0160.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0003_random_0160.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\random_drawing_crops_small_corpus_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0003_random_0160.png,small_corpus_expansion_20260502,normal_hard_negative
Revision_1_-_Drawing_Changes_6cbee960_p0004_random_0106,"[2983, 2744, 4007, 3768]",1024,,,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0004_random_0106.png,0.076874,4,5,F:\Desktop\m\projects\kevision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,Revision #1 - Drawing Changes,Revision_1_-_Drawing_Changes_6cbee960_p0004_random_0106,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\rasterized_pages\Revision_1_-_Drawing_Changes_6cbee960_p0004.png,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0004_random_0106.png,S140,FOURTH FLOOR GENERAL NOTES:,Revision_1_-_Drawing_Changes,4,Revision_1_-_Drawing_Changes:p0004,Revision #1 - Drawing Changes,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\labels\Revision_1_-_Drawing_Changes_6cbee960_p0004_random_0106.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0004_random_0106.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\random_drawing_crops_small_corpus_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0004_random_0106.png,small_corpus_expansion_20260502,normal_hard_negative
Revision_1_-_Drawing_Changes_6cbee960_p0005_random_0142,"[3404, 3430, 4428, 4454]",1024,,,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0005_random_0142.png,0.005743,5,6,F:\Desktop\m\projects\kevision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,Revision #1 - Drawing Changes,Revision_1_-_Drawing_Changes_6cbee960_p0005_random_0142,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\rasterized_pages\Revision_1_-_Drawing_Changes_6cbee960_p0005.png,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0005_random_0142.png,AD501,1 Sim,Revision_1_-_Drawing_Changes,5,Revision_1_-_Drawing_Changes:p0005,Revision #1 - Drawing Changes,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\labels\Revision_1_-_Drawing_Changes_6cbee960_p0005_random_0142.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0005_random_0142.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\random_drawing_crops_small_corpus_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0005_random_0142.png,small_corpus_expansion_20260502,normal_hard_negative
Revision_1_-_Drawing_Changes_6cbee960_p0005_random_0244,"[9229, 2815, 10253, 3839]",1024,,,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0005_random_0244.png,0.029029,5,6,F:\Desktop\m\projects\kevision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,Revision #1 - Drawing Changes,Revision_1_-_Drawing_Changes_6cbee960_p0005_random_0244,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\rasterized_pages\Revision_1_-_Drawing_Changes_6cbee960_p0005.png,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0005_random_0244.png,AD501,1 Sim,Revision_1_-_Drawing_Changes,5,Revision_1_-_Drawing_Changes:p0005,Revision #1 - Drawing Changes,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\labels\Revision_1_-_Drawing_Changes_6cbee960_p0005_random_0244.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0005_random_0244.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\random_drawing_crops_small_corpus_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0005_random_0244.png,small_corpus_expansion_20260502,normal_hard_negative
Revision_1_-_Drawing_Changes_6cbee960_p0006_random_0034,"[5004, 3993, 6028, 5017]",1024,,,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0006_random_0034.png,0.086543,6,7,F:\Desktop\m\projects\kevision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,Revision #1 - Drawing Changes,Revision_1_-_Drawing_Changes_6cbee960_p0006_random_0034,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\rasterized_pages\Revision_1_-_Drawing_Changes_6cbee960_p0006.png,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0006_random_0034.png,AD401,Sim,Revision_1_-_Drawing_Changes,6,Revision_1_-_Drawing_Changes:p0006,Revision #1 - Drawing Changes,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\labels\Revision_1_-_Drawing_Changes_6cbee960_p0006_random_0034.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0006_random_0034.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\random_drawing_crops_small_corpus_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0006_random_0034.png,small_corpus_expansion_20260502,normal_hard_negative
Revision_1_-_Drawing_Changes_6cbee960_p0008_random_0076,"[4161, 1648, 5185, 2672]",1024,,,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0008_random_0076.png,0.052917,8,9,F:\Desktop\m\projects\kevision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,Revision #1 - Drawing Changes,Revision_1_-_Drawing_Changes_6cbee960_p0008_random_0076,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\rasterized_pages\Revision_1_-_Drawing_Changes_6cbee960_p0008.png,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0008_random_0076.png,AE211,CENTRAL,Revision_1_-_Drawing_Changes,8,Revision_1_-_Drawing_Changes:p0008,Revision #1 - Drawing Changes,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\labels\Revision_1_-_Drawing_Changes_6cbee960_p0008_random_0076.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0008_random_0076.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\random_drawing_crops_small_corpus_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0008_random_0076.png,small_corpus_expansion_20260502,normal_hard_negative
Revision_1_-_Drawing_Changes_6cbee960_p0009_random_0004,"[7716, 5653, 8740, 6677]",1024,,,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0009_random_0004.png,0.075443,9,10,F:\Desktop\m\projects\kevision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,Revision #1 - Drawing Changes,Revision_1_-_Drawing_Changes_6cbee960_p0009_random_0004,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\rasterized_pages\Revision_1_-_Drawing_Changes_6cbee960_p0009.png,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0009_random_0004.png,AE211,SIM,Revision_1_-_Drawing_Changes,9,Revision_1_-_Drawing_Changes:p0009,Revision #1 - Drawing Changes,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\labels\Revision_1_-_Drawing_Changes_6cbee960_p0009_random_0004.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0009_random_0004.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\random_drawing_crops_small_corpus_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0009_random_0004.png,small_corpus_expansion_20260502,normal_hard_negative
Revision_1_-_Drawing_Changes_6cbee960_p0010_random_0196,"[8342, 6864, 9366, 7888]",1024,,,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0010_random_0196.png,0.013395,10,11,F:\Desktop\m\projects\kevision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,Revision #1 - Drawing Changes,Revision_1_-_Drawing_Changes_6cbee960_p0010_random_0196,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\rasterized_pages\Revision_1_-_Drawing_Changes_6cbee960_p0010.png,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0010_random_0196.png,AE503,SIM,Revision_1_-_Drawing_Changes,10,Revision_1_-_Drawing_Changes:p0010,Revision #1 - Drawing Changes,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\labels\Revision_1_-_Drawing_Changes_6cbee960_p0010_random_0196.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0010_random_0196.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\random_drawing_crops_small_corpus_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0010_random_0196.png,small_corpus_expansion_20260502,normal_hard_negative
Revision_1_-_Drawing_Changes_6cbee960_p0012_random_0214,"[752, 1124, 1776, 2148]",1024,,,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0012_random_0214.png,0.063757,12,13,F:\Desktop\m\projects\kevision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,Revision #1 - Drawing Changes,Revision_1_-_Drawing_Changes_6cbee960_p0012_random_0214,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\rasterized_pages\Revision_1_-_Drawing_Changes_6cbee960_p0012.png,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0012_random_0214.png,AE600,"3' - 0""",Revision_1_-_Drawing_Changes,12,Revision_1_-_Drawing_Changes:p0012,Revision #1 - Drawing Changes,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\labels\Revision_1_-_Drawing_Changes_6cbee960_p0012_random_0214.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0012_random_0214.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\random_drawing_crops_small_corpus_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0012_random_0214.png,small_corpus_expansion_20260502,normal_hard_negative
Revision_1_-_Drawing_Changes_6cbee960_p0015_random_0028,"[5846, 4449, 6870, 5473]",1024,,,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0015_random_0028.png,0.003959,15,16,F:\Desktop\m\projects\kevision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,Revision #1 - Drawing Changes,Revision_1_-_Drawing_Changes_6cbee960_p0015_random_0028,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\rasterized_pages\Revision_1_-_Drawing_Changes_6cbee960_p0015.png,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0015_random_0028.png,AE110,6B103,Revision_1_-_Drawing_Changes,15,Revision_1_-_Drawing_Changes:p0015,Revision #1 - Drawing Changes,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_20260502\labels\Revision_1_-_Drawing_Changes_6cbee960_p0015_random_0028.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0015_random_0028.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\random_drawing_crops_small_corpus_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0015_random_0028.png,small_corpus_expansion_20260502,normal_hard_negative
