cloud_roi_id,crop_box_page,crop_size,human_notes,human_quick_label,image_path,ink_ratio,page_index,page_number,pdf_path,pdf_stem,random_crop_id,render_path,roi_image_path,sheet_id,sheet_title,source_id,source_page_index,source_page_key,revision_group,label_path,api_label_path,source_image_path,source_batch,expansion_bucket
Revision_1_-_Drawing_Changes_6cbee960_p0001_random_0018,"[9231, 5717, 10255, 6741]",1024,,,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0001_random_0018.png,0.139551,1,2,F:\Desktop\m\projects\kevision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,Revision #1 - Drawing Changes,Revision_1_-_Drawing_Changes_6cbee960_p0001_random_0018,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\rasterized_pages\Revision_1_-_Drawing_Changes_6cbee960_p0001.png,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0001_random_0018.png,GI104,5TH FLOOR CODE ANALYSIS,Revision_1_-_Drawing_Changes,1,Revision_1_-_Drawing_Changes:p0001,Revision #1 - Drawing Changes,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\labels\Revision_1_-_Drawing_Changes_6cbee960_p0001_random_0018.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0001_random_0018.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\random_drawing_crops_small_corpus_supplement_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0001_random_0018.png,small_corpus_expansion_supplement_20260502,normal_hard_negative
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_random_0040,"[3176, 1364, 4200, 2388]",1024,,,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_random_0040.png,0.168552,4,5,F:\Desktop\m\projects\kevision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,260309 - Drawing Rev2- Steel Grab Bars,260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_random_0040,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\rasterized_pages\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004.png,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_random_0040.png,GI104,5TH FLOOR CODE ANALYSIS,260309_-_Drawing_Rev2-_Steel_Grab_Bars,4,260309_-_Drawing_Rev2-_Steel_Grab_Bars:p0004,Revision #2 - Mod 5 grab bar supports,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\labels\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_random_0040.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\api_cloud_labels_unreviewed\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_random_0040.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\random_drawing_crops_small_corpus_supplement_20260502\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_random_0040.png,small_corpus_expansion_supplement_20260502,normal_hard_negative
Drawing_Rev2-_Steel_Grab_Bars_AE107_e23b5995_p0000_random_0448,"[1694, 867, 2718, 1891]",1024,,,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\images\Drawing_Rev2-_Steel_Grab_Bars_AE107_e23b5995_p0000_random_0448.png,0.215977,0,1,F:\Desktop\m\projects\kevision\revision_sets\Revision #2 - Mod 5 grab bar supports\Drawing Rev2- Steel Grab Bars AE107.pdf,Drawing Rev2- Steel Grab Bars AE107,Drawing_Rev2-_Steel_Grab_Bars_AE107_e23b5995_p0000_random_0448,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\rasterized_pages\Drawing_Rev2-_Steel_Grab_Bars_AE107_e23b5995_p0000.png,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\images\Drawing_Rev2-_Steel_Grab_Bars_AE107_e23b5995_p0000_random_0448.png,AE126,SIM,Drawing_Rev2-_Steel_Grab_Bars_AE107,0,Drawing_Rev2-_Steel_Grab_Bars_AE107:p0000,Revision #2 - Mod 5 grab bar supports,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\labels\Drawing_Rev2-_Steel_Grab_Bars_AE107_e23b5995_p0000_random_0448.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\api_cloud_labels_unreviewed\Drawing_Rev2-_Steel_Grab_Bars_AE107_e23b5995_p0000_random_0448.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\random_drawing_crops_small_corpus_supplement_20260502\images\Drawing_Rev2-_Steel_Grab_Bars_AE107_e23b5995_p0000_random_0448.png,small_corpus_expansion_supplement_20260502,normal_hard_negative
Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1_9b6a81f4_p0000_random_0082,"[8158, 3861, 9182, 4885]",1024,,,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\images\Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1_9b6a81f4_p0000_random_0082.png,0.011555,0,1,F:\Desktop\m\projects\kevision\revision_sets\Revision #2 - Mod 5 grab bar supports\Drawing Rev2- Steel Grab Bars R1 AE107.1.pdf,Drawing Rev2- Steel Grab Bars R1 AE107.1,Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1_9b6a81f4_p0000_random_0082,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\rasterized_pages\Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1_9b6a81f4_p0000.png,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\images\Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1_9b6a81f4_p0000_random_0082.png,AE401,SIM,Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1,0,Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1:p0000,Revision #2 - Mod 5 grab bar supports,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\labels\Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1_9b6a81f4_p0000_random_0082.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\api_cloud_labels_unreviewed\Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1_9b6a81f4_p0000_random_0082.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\random_drawing_crops_small_corpus_supplement_20260502\images\Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1_9b6a81f4_p0000_random_0082.png,small_corpus_expansion_supplement_20260502,normal_hard_negative
260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_random_0021,"[978, 4522, 2002, 5546]",1024,,,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_random_0021.png,0.094801,172,173,F:\Desktop\m\projects\kevision\revision_sets\Revision #3 - EHRM Drawings\260313 - VA Biloxi Rev 3.pdf,260313 - VA Biloxi Rev 3,260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_random_0021,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\rasterized_pages\260313_-_VA_Biloxi_Rev_3_ff19da68_p0172.png,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_random_0021.png,P-418,"1/2"" CW,",260313_-_VA_Biloxi_Rev_3,172,260313_-_VA_Biloxi_Rev_3:p0172,Revision #3 - EHRM Drawings,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_random_0021.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\api_cloud_labels_unreviewed\260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_random_0021.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\random_drawing_crops_small_corpus_supplement_20260502\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_random_0021.png,small_corpus_expansion_supplement_20260502,normal_hard_negative
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0029,"[3547, 3194, 4571, 4218]",1024,,,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0029.png,0.052432,0,1,F:\Desktop\m\projects\kevision\revision_sets\Revision #4 - Dental Air\260219 - VA Biloxi Rev 4_Plumbing 1.pdf,260219 - VA Biloxi Rev 4_Plumbing 1,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0029,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\rasterized_pages\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000.png,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0029.png,PL302,EXISTING 1ST FLOOR - MED GAS,260219_-_VA_Biloxi_Rev_4_Plumbing_1,0,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0000,Revision #4 - Dental Air,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\labels\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0029.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\api_cloud_labels_unreviewed\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0029.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\random_drawing_crops_small_corpus_supplement_20260502\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_random_0029.png,small_corpus_expansion_supplement_20260502,normal_hard_negative
Revision_1_-_Drawing_Changes_6cbee960_p0001_random_0078,"[7836, 675, 8860, 1699]",1024,,,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0001_random_0078.png,0.054177,1,2,F:\Desktop\m\projects\kevision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,Revision #1 - Drawing Changes,Revision_1_-_Drawing_Changes_6cbee960_p0001_random_0078,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\rasterized_pages\Revision_1_-_Drawing_Changes_6cbee960_p0001.png,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0001_random_0078.png,GI104,5TH FLOOR CODE ANALYSIS,Revision_1_-_Drawing_Changes,1,Revision_1_-_Drawing_Changes:p0001,Revision #1 - Drawing Changes,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\labels\Revision_1_-_Drawing_Changes_6cbee960_p0001_random_0078.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\api_cloud_labels_unreviewed\Revision_1_-_Drawing_Changes_6cbee960_p0001_random_0078.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\random_drawing_crops_small_corpus_supplement_20260502\images\Revision_1_-_Drawing_Changes_6cbee960_p0001_random_0078.png,small_corpus_expansion_supplement_20260502,normal_hard_negative
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0005_random_0166,"[9266, 4536, 10290, 5560]",1024,,,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0005_random_0166.png,0.077985,5,6,F:\Desktop\m\projects\kevision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,260309 - Drawing Rev2- Steel Grab Bars,260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0005_random_0166,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\rasterized_pages\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0005.png,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0005_random_0166.png,AE126,SIM,260309_-_Drawing_Rev2-_Steel_Grab_Bars,5,260309_-_Drawing_Rev2-_Steel_Grab_Bars:p0005,Revision #2 - Mod 5 grab bar supports,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\labels\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0005_random_0166.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\api_cloud_labels_unreviewed\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0005_random_0166.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\random_drawing_crops_small_corpus_supplement_20260502\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0005_random_0166.png,small_corpus_expansion_supplement_20260502,normal_hard_negative
Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1_9b6a81f4_p0000_random_0124,"[8346, 3048, 9370, 4072]",1024,,,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\images\Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1_9b6a81f4_p0000_random_0124.png,0.06942,0,1,F:\Desktop\m\projects\kevision\revision_sets\Revision #2 - Mod 5 grab bar supports\Drawing Rev2- Steel Grab Bars R1 AE107.1.pdf,Drawing Rev2- Steel Grab Bars R1 AE107.1,Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1_9b6a81f4_p0000_random_0124,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\rasterized_pages\Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1_9b6a81f4_p0000.png,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\images\Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1_9b6a81f4_p0000_random_0124.png,AE401,SIM,Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1,0,Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1:p0000,Revision #2 - Mod 5 grab bar supports,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\labels\Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1_9b6a81f4_p0000_random_0124.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\api_cloud_labels_unreviewed\Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1_9b6a81f4_p0000_random_0124.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\random_drawing_crops_small_corpus_supplement_20260502\images\Drawing_Rev2-_Steel_Grab_Bars_R1_AE107.1_9b6a81f4_p0000_random_0124.png,small_corpus_expansion_supplement_20260502,normal_hard_negative
260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_random_0213,"[9303, 1741, 10327, 2765]",1024,,,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_random_0213.png,0.008509,172,173,F:\Desktop\m\projects\kevision\revision_sets\Revision #3 - EHRM Drawings\260313 - VA Biloxi Rev 3.pdf,260313 - VA Biloxi Rev 3,260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_random_0213,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\rasterized_pages\260313_-_VA_Biloxi_Rev_3_ff19da68_p0172.png,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_random_0213.png,P-418,"1/2"" CW,",260313_-_VA_Biloxi_Rev_3,172,260313_-_VA_Biloxi_Rev_3:p0172,Revision #3 - EHRM Drawings,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\review_batches\small_corpus_expansion_supplement_20260502\labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_random_0213.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\api_cloud_labels_unreviewed\260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_random_0213.txt,F:\Desktop\m\projects\scopeLedger\CloudHammer\data\random_drawing_crops_small_corpus_supplement_20260502\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0172_random_0213.png,small_corpus_expansion_supplement_20260502,normal_hard_negative
