cloud_roi_id,review_bucket,revision,candidate_source,source_image_path,local_image_path,gpt_label_path,local_label_path,gpt_overlay_path,local_overlay_path,pdf_path,page_index,page_number,sheet_id,sheet_title,accepted_box_count,max_confidence,visual_types,human_quick_label,human_notes
260313_-_VA_Biloxi_Rev_3_ff19da68_p0174_m005,hard_negative_marker_no_cloud,Revision #3 - EHRM Drawings,target_marker_neighborhood,F:\Desktop\m\projects\kevision\CloudHammer\data\cloud_roi_images_broad_20260427\260313_-_VA_Biloxi_Rev_3_ff19da68_p0174_m005.png,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0174_m005.png,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0174_m005.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0174_m005.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_review\260313_-_VA_Biloxi_Rev_3_ff19da68_p0174_m005.jpg,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\gpt_overlays\260313_-_VA_Biloxi_Rev_3_ff19da68_p0174_m005.jpg,F:\Desktop\m\projects\kevision\revision_sets\Revision #3 - EHRM Drawings\260313 - VA Biloxi Rev 3.pdf,174,,,,0,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m040,hard_negative_marker_no_cloud,Revision #4 - Dental Air,target_marker_neighborhood,F:\Desktop\m\projects\kevision\CloudHammer\data\cloud_roi_images_broad_20260427\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m040.png,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m040.png,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_labels\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m040.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\labels\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m040.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_review\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m040.jpg,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\gpt_overlays\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m040.jpg,F:\Desktop\m\projects\kevision\revision_sets\Revision #4 - Dental Air\260219 - VA Biloxi Rev 4_Plumbing 1.pdf,1,,,,0,,,,
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_m001,hard_negative_marker_no_cloud,Revision #2 - Mod 5 grab bar supports,target_marker_neighborhood,F:\Desktop\m\projects\kevision\CloudHammer\data\cloud_roi_images_broad_20260427\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_m001.png,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_m001.png,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_labels\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_m001.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\labels\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_m001.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_review\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_m001.jpg,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\gpt_overlays\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_m001.jpg,F:\Desktop\m\projects\kevision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,4,,,,0,,,,
Revision_1_-_Drawing_Changes_6cbee960_p0001_m004,hard_negative_marker_no_cloud,Revision #1 - Drawing Changes,target_marker_neighborhood,F:\Desktop\m\projects\kevision\CloudHammer\data\cloud_roi_images_broad_20260427\Revision_1_-_Drawing_Changes_6cbee960_p0001_m004.png,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\images\Revision_1_-_Drawing_Changes_6cbee960_p0001_m004.png,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_labels\Revision_1_-_Drawing_Changes_6cbee960_p0001_m004.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\labels\Revision_1_-_Drawing_Changes_6cbee960_p0001_m004.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_review\Revision_1_-_Drawing_Changes_6cbee960_p0001_m004.jpg,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\gpt_overlays\Revision_1_-_Drawing_Changes_6cbee960_p0001_m004.jpg,F:\Desktop\m\projects\kevision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,1,,,,0,,,,
260313_-_VA_Biloxi_Rev_3_ff19da68_p0174_m007,hard_negative_marker_no_cloud,Revision #3 - EHRM Drawings,target_marker_neighborhood,F:\Desktop\m\projects\kevision\CloudHammer\data\cloud_roi_images_broad_20260427\260313_-_VA_Biloxi_Rev_3_ff19da68_p0174_m007.png,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0174_m007.png,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0174_m007.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0174_m007.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_review\260313_-_VA_Biloxi_Rev_3_ff19da68_p0174_m007.jpg,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\gpt_overlays\260313_-_VA_Biloxi_Rev_3_ff19da68_p0174_m007.jpg,F:\Desktop\m\projects\kevision\revision_sets\Revision #3 - EHRM Drawings\260313 - VA Biloxi Rev 3.pdf,174,,,,0,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m078,hard_negative_marker_no_cloud,Revision #4 - Dental Air,target_marker_neighborhood,F:\Desktop\m\projects\kevision\CloudHammer\data\cloud_roi_images_broad_20260427\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m078.png,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m078.png,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_labels\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m078.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\labels\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m078.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_review\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m078.jpg,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\gpt_overlays\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m078.jpg,F:\Desktop\m\projects\kevision\revision_sets\Revision #4 - Dental Air\260219 - VA Biloxi Rev 4_Plumbing 1.pdf,1,,,,0,,,,
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_m002,hard_negative_marker_no_cloud,Revision #2 - Mod 5 grab bar supports,target_marker_neighborhood,F:\Desktop\m\projects\kevision\CloudHammer\data\cloud_roi_images_broad_20260427\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_m002.png,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_m002.png,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_labels\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_m002.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\labels\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_m002.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_review\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_m002.jpg,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\gpt_overlays\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_m002.jpg,F:\Desktop\m\projects\kevision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,4,,,,0,,,,
Revision_1_-_Drawing_Changes_6cbee960_p0001_m014,hard_negative_marker_no_cloud,Revision #1 - Drawing Changes,target_marker_neighborhood,F:\Desktop\m\projects\kevision\CloudHammer\data\cloud_roi_images_broad_20260427\Revision_1_-_Drawing_Changes_6cbee960_p0001_m014.png,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\images\Revision_1_-_Drawing_Changes_6cbee960_p0001_m014.png,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_labels\Revision_1_-_Drawing_Changes_6cbee960_p0001_m014.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\labels\Revision_1_-_Drawing_Changes_6cbee960_p0001_m014.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_review\Revision_1_-_Drawing_Changes_6cbee960_p0001_m014.jpg,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\gpt_overlays\Revision_1_-_Drawing_Changes_6cbee960_p0001_m014.jpg,F:\Desktop\m\projects\kevision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,1,,,,0,,,,
260313_-_VA_Biloxi_Rev_3_ff19da68_p0176_m003,hard_negative_marker_no_cloud,Revision #3 - EHRM Drawings,target_marker_neighborhood,F:\Desktop\m\projects\kevision\CloudHammer\data\cloud_roi_images_broad_20260427\260313_-_VA_Biloxi_Rev_3_ff19da68_p0176_m003.png,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0176_m003.png,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0176_m003.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0176_m003.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_review\260313_-_VA_Biloxi_Rev_3_ff19da68_p0176_m003.jpg,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\gpt_overlays\260313_-_VA_Biloxi_Rev_3_ff19da68_p0176_m003.jpg,F:\Desktop\m\projects\kevision\revision_sets\Revision #3 - EHRM Drawings\260313 - VA Biloxi Rev 3.pdf,176,,,,0,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m095,hard_negative_marker_no_cloud,Revision #4 - Dental Air,target_marker_neighborhood,F:\Desktop\m\projects\kevision\CloudHammer\data\cloud_roi_images_broad_20260427\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m095.png,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m095.png,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_labels\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m095.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\labels\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m095.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_review\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m095.jpg,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\hard_negative_marker_no_cloud\gpt_overlays\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m095.jpg,F:\Desktop\m\projects\kevision\revision_sets\Revision #4 - Dental Air\260219 - VA Biloxi Rev 4_Plumbing 1.pdf,1,,,,0,,,,
