cloud_roi_id,review_bucket,revision,candidate_source,source_image_path,local_image_path,gpt_label_path,local_label_path,gpt_overlay_path,local_overlay_path,pdf_path,page_index,page_number,sheet_id,sheet_title,accepted_box_count,max_confidence,visual_types,human_quick_label,human_notes
260313_-_VA_Biloxi_Rev_3_ff19da68_p0176_m001,high_conf_positive,Revision #3 - EHRM Drawings,target_marker_neighborhood,F:\Desktop\m\projects\kevision\CloudHammer\data\cloud_roi_images_broad_20260427\260313_-_VA_Biloxi_Rev_3_ff19da68_p0176_m001.png,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0176_m001.png,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0176_m001.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0176_m001.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_review\260313_-_VA_Biloxi_Rev_3_ff19da68_p0176_m001.jpg,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\gpt_overlays\260313_-_VA_Biloxi_Rev_3_ff19da68_p0176_m001.jpg,F:\Desktop\m\projects\kevision\revision_sets\Revision #3 - EHRM Drawings\260313 - VA Biloxi Rev 3.pdf,176,,,,2,0.9800,bold,,
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0021_random_0024,high_conf_positive,Revision #2 - Mod 5 grab bar supports,random_standard_drawing_crop,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0021_random_0024.png,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0021_random_0024.png,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_labels\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0021_random_0024.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\labels\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0021_random_0024.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_review\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0021_random_0024.jpg,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\gpt_overlays\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0021_random_0024.jpg,F:\Desktop\m\projects\kevision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,21,22,P-418,FD-C,1,0.9400,bold,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_m053,high_conf_positive,Revision #4 - Dental Air,target_marker_neighborhood,F:\Desktop\m\projects\kevision\CloudHammer\data\cloud_roi_images_broad_20260427\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_m053.png,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_m053.png,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_labels\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_m053.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\labels\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_m053.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_review\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_m053.jpg,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\gpt_overlays\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_m053.jpg,F:\Desktop\m\projects\kevision\revision_sets\Revision #4 - Dental Air\260219 - VA Biloxi Rev 4_Plumbing 1.pdf,4,,,,2,0.9500,bold,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0002_random_0585,high_conf_positive,Revision #4 - Dental Air,random_standard_drawing_crop,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0002_random_0585.png,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0002_random_0585.png,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_labels\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0002_random_0585.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\labels\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0002_random_0585.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_review\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0002_random_0585.jpg,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\gpt_overlays\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0002_random_0585.jpg,F:\Desktop\m\projects\kevision\revision_sets\Revision #4 - Dental Air\260219 - VA Biloxi Rev 4_Plumbing 1.pdf,2,3,PL306,5TH FLOOR - MED GAS,1,0.9800,bold,,
260313_-_VA_Biloxi_Rev_3_ff19da68_p0196_random_0152,high_conf_positive,Revision #3 - EHRM Drawings,random_standard_drawing_crop,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0196_random_0152.png,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0196_random_0152.png,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0196_random_0152.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0196_random_0152.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_review\260313_-_VA_Biloxi_Rev_3_ff19da68_p0196_random_0152.jpg,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\gpt_overlays\260313_-_VA_Biloxi_Rev_3_ff19da68_p0196_random_0152.jpg,F:\Desktop\m\projects\kevision\revision_sets\Revision #3 - EHRM Drawings\260313 - VA Biloxi Rev 3.pdf,196,197,E001,SYMBOLS  LIST.,2,0.9700,bold,,
260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0003_random_0313,high_conf_positive,Revision #5 - RFI 126 - Concrete Repairs,random_standard_drawing_crop,F:\Desktop\m\projects\kevision\CloudHammer\data\random_drawing_crops_broad_20260427\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0003_random_0313.png,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0003_random_0313.png,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_labels\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0003_random_0313.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\labels\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0003_random_0313.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_review\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0003_random_0313.jpg,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\gpt_overlays\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0003_random_0313.jpg,F:\Desktop\m\projects\kevision\revision_sets\Revision #5 - RFI 126 - Concrete Repairs\260303-VA Biloxi Rev 5 RFI-126.pdf,3,4,S160,"AEMS, PLLC",1,0.9800,bold,,
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0023_m002,high_conf_positive,Revision #2 - Mod 5 grab bar supports,target_marker_neighborhood,F:\Desktop\m\projects\kevision\CloudHammer\data\cloud_roi_images_broad_20260427\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0023_m002.png,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0023_m002.png,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_labels\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0023_m002.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\labels\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0023_m002.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_review\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0023_m002.jpg,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\gpt_overlays\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0023_m002.jpg,F:\Desktop\m\projects\kevision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,23,,,,1,0.9800,bold,,
Revision_1_-_Drawing_Changes_6cbee960_p0007_m060,high_conf_positive,Revision #1 - Drawing Changes,target_marker_neighborhood,F:\Desktop\m\projects\kevision\CloudHammer\data\cloud_roi_images_broad_20260427\Revision_1_-_Drawing_Changes_6cbee960_p0007_m060.png,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\images\Revision_1_-_Drawing_Changes_6cbee960_p0007_m060.png,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_labels\Revision_1_-_Drawing_Changes_6cbee960_p0007_m060.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\labels\Revision_1_-_Drawing_Changes_6cbee960_p0007_m060.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_review\Revision_1_-_Drawing_Changes_6cbee960_p0007_m060.jpg,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\gpt_overlays\Revision_1_-_Drawing_Changes_6cbee960_p0007_m060.jpg,F:\Desktop\m\projects\kevision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,7,,,,2,0.9800,bold,,
260313_-_VA_Biloxi_Rev_3_ff19da68_p0184_m007,high_conf_positive,Revision #3 - EHRM Drawings,target_marker_neighborhood,F:\Desktop\m\projects\kevision\CloudHammer\data\cloud_roi_images_broad_20260427\260313_-_VA_Biloxi_Rev_3_ff19da68_p0184_m007.png,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0184_m007.png,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0184_m007.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0184_m007.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_review\260313_-_VA_Biloxi_Rev_3_ff19da68_p0184_m007.jpg,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\gpt_overlays\260313_-_VA_Biloxi_Rev_3_ff19da68_p0184_m007.jpg,F:\Desktop\m\projects\kevision\revision_sets\Revision #3 - EHRM Drawings\260313 - VA Biloxi Rev 3.pdf,184,,,,2,0.9500,bold,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m029,high_conf_positive,Revision #4 - Dental Air,target_marker_neighborhood,F:\Desktop\m\projects\kevision\CloudHammer\data\cloud_roi_images_broad_20260427\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m029.png,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m029.png,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_labels\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m029.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\labels\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m029.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\gpt_prelabel_broad_20260427\gpt_review\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m029.jpg,F:\Desktop\m\projects\kevision\CloudHammer\data\review_queues\broad_gpt_20260427_deduped\high_conf_positive\gpt_overlays\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_m029.jpg,F:\Desktop\m\projects\kevision\revision_sets\Revision #4 - Dental Air\260219 - VA Biloxi Rev 4_Plumbing 1.pdf,1,,,,1,0.9800,bold,,
