review_group,random_crop_id,image_path,label_path,gpt_overlay_path,gpt_has_cloud,gpt_box_count,gpt_max_confidence,gpt_visual_types,human_quick_label,human_notes,sheet_id,sheet_title,page_number
gpt_positive,260219_-_VA_Biloxi_Rev_4_Architectural_1_1fbe070b_p0000_random_0123,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260219_-_VA_Biloxi_Rev_4_Architectural_1_1fbe070b_p0000_random_0123.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260219_-_VA_Biloxi_Rev_4_Architectural_1_1fbe070b_p0000_random_0123.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260219_-_VA_Biloxi_Rev_4_Architectural_1_1fbe070b_p0000_random_0123.jpg,True,3,0.93,intersected;partial;thin,,,AE102,2ND FLOOR PLAN - SHELL,1
gpt_positive,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_random_0075,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_random_0075.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_random_0075.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0004_random_0075.jpg,True,2,0.95,partial,,,PL507,OVERALL MED GAS RISER,5
gpt_positive,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_random_0048,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_random_0048.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_random_0048.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_random_0048.jpg,True,1,0.98,partial,,,C10,"PLATE 5/16""X4""X0'-6""",3
gpt_positive,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_random_0078,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_random_0078.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_random_0078.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_random_0078.jpg,True,1,0.97,partial,,,C10,"PLATE 5/16""X4""X0'-6""",3
gpt_positive,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0012,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0012.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0012.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0012.jpg,True,1,0.98,partial,,,S140,"(E) BRACE FRAME, STITCH WELD CHANNEL TO TOP TUBE OF FRAME WITH BEVEL",5
gpt_positive,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0066,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0066.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0066.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0004_random_0066.jpg,True,1,0.98,partial,,,S140,"(E) BRACE FRAME, STITCH WELD CHANNEL TO TOP TUBE OF FRAME WITH BEVEL",5
gpt_positive,260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0007_random_0070,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0007_random_0070.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0007_random_0070.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0007_random_0070.jpg,True,1,0.78,faint,,,AE401,TYP,8
gpt_positive,260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0026_random_0088,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0026_random_0088.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0026_random_0088.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0026_random_0088.jpg,True,1,0.72,partial,,,P-418,FD-C,27
gpt_positive,260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0026_random_0100,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0026_random_0100.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0026_random_0100.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0026_random_0100.jpg,True,1,0.67,partial,,,P-418,FD-C,27
gpt_positive,260313_-_VA_Biloxi_Rev_3_ff19da68_p0027_random_0167,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\images\260313_-_VA_Biloxi_Rev_3_ff19da68_p0027_random_0167.png,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\labels\260313_-_VA_Biloxi_Rev_3_ff19da68_p0027_random_0167.txt,F:\Desktop\m\projects\kevision\CloudHammer\data\temp_random_gpt_review_queue\gpt_overlays\260313_-_VA_Biloxi_Rev_3_ff19da68_p0027_random_0167.jpg,True,1,0.98,partial,,,TA2314,US32D,28
