epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6029,1.67194,3.19543,1.67836,0.0065,0.95122,0.38254,0.23626,1.14895,2.9267,1.18592,0.00028,0.00028,0.00028
2,15.594,1.33422,2.3136,1.41562,0.00656,0.95935,0.32336,0.17753,1.20064,3.00338,1.25619,0.000568516,0.000568516,0.000568516
3,18.4555,1.25477,2.00271,1.36427,0.55594,0.04072,0.10726,0.06865,1.43152,3.25549,1.51265,0.000845152,0.000845152,0.000845152
4,21.3164,1.31925,2.06459,1.42823,0.71361,0.06097,0.1632,0.08712,1.95145,3.35831,1.82996,0.00110991,0.00110991,0.00110991
5,24.208,1.29701,2.03698,1.39401,0.23775,0.13821,0.09207,0.04418,1.61316,3.10745,1.74861,0.00136278,0.00136278,0.00136278
6,27.1265,1.30512,1.86695,1.40478,0.15353,0.23577,0.09808,0.04095,1.67134,3.91361,1.90608,0.00160378,0.00160378,0.00160378
7,29.8478,1.23884,1.72062,1.34486,0.27437,0.20325,0.15515,0.06348,1.56637,3.56998,1.88581,0.0017624,0.0017624,0.0017624
8,32.4691,1.22467,1.68952,1.34745,0.34775,0.45528,0.32368,0.16175,1.71,2.41147,1.80065,0.0017228,0.0017228,0.0017228
9,35.153,1.17617,1.61633,1.33509,0.40156,0.44735,0.35165,0.2034,1.64328,2.31196,1.69217,0.0016832,0.0016832,0.0016832
10,37.8099,1.20176,1.55449,1.35594,0.53888,0.68408,0.55767,0.27588,1.4206,2.78589,1.61192,0.0016436,0.0016436,0.0016436
11,40.582,1.21011,1.53325,1.33762,0.45836,0.43346,0.43276,0.24502,1.48686,3.10101,1.60083,0.001604,0.001604,0.001604
12,43.1699,1.22306,1.5274,1.37184,0.77667,0.47154,0.60769,0.36542,1.35091,2.15059,1.48537,0.0015644,0.0015644,0.0015644
13,45.7577,1.14763,1.40014,1.29568,0.59897,0.6748,0.58624,0.34372,1.36022,1.73572,1.4523,0.0015248,0.0015248,0.0015248
14,48.4209,1.16865,1.45317,1.30105,0.70574,0.72148,0.66599,0.42256,1.19238,1.36101,1.33399,0.0014852,0.0014852,0.0014852
15,51.2379,1.12411,1.32268,1.30293,0.6476,0.66667,0.67416,0.43657,1.21519,1.43214,1.31394,0.0014456,0.0014456,0.0014456
16,54.1236,1.0685,1.29131,1.26371,0.60653,0.65041,0.66378,0.43901,1.14326,1.39876,1.26921,0.001406,0.001406,0.001406
