epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4766,1.59964,3.28891,1.58952,0.68849,0.06122,0.19732,0.0992,1.29462,3.45294,1.34243,0.000651515,0.000651515,0.000651515
2,18.9552,1.50895,2.58205,1.53469,0.08224,0.12615,0.0532,0.0202,1.60613,18.2211,2.28346,0.00129208,0.00129208,0.00129208
3,26.7796,1.55738,2.33747,1.56739,0.19236,0.23692,0.11425,0.059,1.77464,4.49612,1.99558,0.00190625,0.00190625,0.00190625
4,34.1379,1.46266,2.08692,1.49834,0.17516,0.24923,0.10757,0.05862,1.65051,3.77547,1.74363,0.0018812,0.0018812,0.0018812
5,41.5594,1.44934,1.92919,1.52735,0.49482,0.36923,0.36389,0.21947,1.99132,2.75203,2.09811,0.0018416,0.0018416,0.0018416
6,49.1141,1.37198,1.80007,1.46012,0.64849,0.48923,0.54847,0.31607,1.43521,2.09069,1.4919,0.001802,0.001802,0.001802
7,56.9396,1.33899,1.65005,1.42475,0.73185,0.66342,0.69868,0.47031,1.19149,1.40521,1.29888,0.0017624,0.0017624,0.0017624
8,65.2793,1.28773,1.55123,1.41636,0.55522,0.4686,0.4982,0.32706,1.23653,1.93378,1.30638,0.0017228,0.0017228,0.0017228
9,74.1306,1.24287,1.46769,1.35735,0.79892,0.73231,0.80488,0.56271,1.04431,1.1482,1.18855,0.0016832,0.0016832,0.0016832
10,82.3152,1.21702,1.45219,1.35392,0.78091,0.7019,0.74398,0.50451,1.07763,1.37584,1.22692,0.0016436,0.0016436,0.0016436
11,91.4097,1.23609,1.40964,1.33946,0.83265,0.68615,0.77093,0.54157,0.99525,1.29155,1.19418,0.001604,0.001604,0.001604
12,99.1909,1.21432,1.4783,1.32588,0.76106,0.73504,0.76953,0.55571,1.02803,1.08794,1.19957,0.0015644,0.0015644,0.0015644
13,107.399,1.12714,1.27885,1.30291,0.83562,0.70462,0.76665,0.52545,1.03765,1.25082,1.19995,0.0015248,0.0015248,0.0015248
14,116.225,1.14879,1.26277,1.3131,0.80441,0.74769,0.79846,0.58157,0.94172,1.04778,1.13792,0.0014852,0.0014852,0.0014852
15,126.77,1.06795,1.18382,1.25589,0.83606,0.8,0.84639,0.61607,0.92529,0.98571,1.1218,0.0014456,0.0014456,0.0014456
16,134.68,1.04844,1.17359,1.25211,0.82721,0.79544,0.82873,0.60302,0.90209,0.99837,1.10549,0.001406,0.001406,0.001406
17,141.916,1.08706,1.1835,1.27757,0.85051,0.78777,0.82333,0.61091,0.90957,1.02946,1.1019,0.0013664,0.0013664,0.0013664
18,149.188,1.03985,1.1267,1.25516,0.84679,0.8,0.86346,0.6513,0.86391,0.88591,1.10318,0.0013268,0.0013268,0.0013268
19,157.116,1.03243,1.12107,1.22475,0.8019,0.82462,0.80819,0.59644,0.87278,0.97814,1.09329,0.0012872,0.0012872,0.0012872
20,164.146,1.03309,1.12089,1.23438,0.8383,0.76,0.81001,0.60659,0.90563,1.01021,1.11501,0.0012476,0.0012476,0.0012476
21,171.2,1.01357,1.03288,1.22708,0.85561,0.76578,0.82954,0.6165,0.86925,0.94463,1.08723,0.001208,0.001208,0.001208
