epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7422,1.56271,3.32348,1.55534,0.00607,0.76667,0.34191,0.21166,1.22936,3.53782,1.27936,0.000648649,0.000648649,0.000648649
2,17.2686,1.402,2.54534,1.46315,0.3848,0.3381,0.23258,0.1189,1.62417,3.51287,1.7126,0.00128927,0.00128927,0.00128927
3,24.3403,1.43935,2.34325,1.4761,0.03568,0.44286,0.02563,0.0112,1.90878,19.6912,2.09745,0.0019035,0.0019035,0.0019035
4,31.1678,1.50982,2.21267,1.51009,0.51681,0.36667,0.3657,0.20917,1.57185,6.44142,1.87249,0.0018812,0.0018812,0.0018812
5,38.9952,1.47918,2.03043,1.48551,0.31236,0.37143,0.24961,0.12737,1.36105,5.43682,1.46962,0.0018416,0.0018416,0.0018416
6,45.4855,1.37627,1.76966,1.40862,0.59079,0.68571,0.66742,0.39621,1.33744,1.87765,1.41254,0.001802,0.001802,0.001802
7,51.4872,1.36485,1.72203,1.4062,0.46263,0.33617,0.3013,0.17985,1.72489,2.53298,1.7018,0.0017624,0.0017624,0.0017624
8,57.5859,1.29299,1.58157,1.35707,0.7596,0.57619,0.6975,0.43922,1.34124,1.55955,1.38282,0.0017228,0.0017228,0.0017228
9,63.2244,1.21141,1.40628,1.32344,0.56786,0.37619,0.40237,0.23912,1.5576,2.42535,1.57868,0.0016832,0.0016832,0.0016832
10,68.7992,1.24024,1.44852,1.36778,0.77263,0.7,0.75527,0.49563,1.09296,1.28039,1.25157,0.0016436,0.0016436,0.0016436
11,74.3227,1.193,1.39439,1.33175,0.75077,0.74593,0.78717,0.52135,1.10179,1.46367,1.25322,0.001604,0.001604,0.001604
12,80.2745,1.17935,1.31243,1.29766,0.79945,0.75932,0.79689,0.54441,1.00335,1.10185,1.20366,0.0015644,0.0015644,0.0015644
13,86.7004,1.1484,1.28593,1.2734,0.78579,0.75112,0.79273,0.55391,1.03028,1.14712,1.19679,0.0015248,0.0015248,0.0015248
14,93.6897,1.1727,1.26946,1.29434,0.827,0.70952,0.78362,0.54691,1.03678,1.11946,1.22676,0.0014852,0.0014852,0.0014852
15,101.331,1.11975,1.23239,1.26431,0.7554,0.82381,0.8012,0.55604,1.03859,1.12432,1.1903,0.0014456,0.0014456,0.0014456
16,108.732,1.06465,1.12624,1.23886,0.82017,0.8381,0.84413,0.56782,1.03742,0.95385,1.19461,0.001406,0.001406,0.001406
17,116.081,1.07997,1.07422,1.24091,0.88551,0.71429,0.80351,0.56033,1.04283,1.13341,1.18665,0.0013664,0.0013664,0.0013664
18,123.037,1.10771,1.13218,1.27373,0.79019,0.82857,0.86282,0.60705,0.97449,0.95011,1.14821,0.0013268,0.0013268,0.0013268
19,129.893,1.05097,1.13531,1.24228,0.7733,0.58571,0.65671,0.44298,1.17253,1.37358,1.27694,0.0012872,0.0012872,0.0012872
20,136.585,1.05727,1.12593,1.22514,0.78174,0.83571,0.82885,0.57893,0.9122,0.97003,1.12334,0.0012476,0.0012476,0.0012476
21,143.366,1.02598,1.05714,1.20895,0.81857,0.85238,0.83891,0.60369,0.91161,0.93202,1.11073,0.001208,0.001208,0.001208
