epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.55488,1.6254,3.35639,1.66412,0.00642,0.97531,0.26659,0.18859,0.64851,2.94172,0.94774,0.0002,0.0002,0.0002
2,9.27703,1.3143,2.64794,1.45821,0.0065,0.98765,0.4086,0.30634,0.63454,2.82352,0.88944,0.000411684,0.000411684,0.000411684
3,10.9531,1.08295,2.03924,1.30239,1,0.03461,0.26274,0.18412,0.90443,3.008,1.14858,0.000614656,0.000614656,0.000614656
4,12.5959,1.01763,1.85629,1.21166,1,0.08116,0.47834,0.29469,0.89043,2.75738,1.08335,0.000808916,0.000808916,0.000808916
5,14.2054,1.11459,2.01153,1.29294,0.27004,0.29232,0.17704,0.07137,1.42003,3.04974,1.55744,0.000994464,0.000994464,0.000994464
6,15.7731,1.09952,1.69669,1.24007,0.49883,0.48148,0.43652,0.2897,0.94924,2.74146,1.22208,0.0011713,0.0011713,0.0011713
7,17.393,1.07294,1.62078,1.23537,0.48011,0.30784,0.3518,0.21308,1.01428,2.89829,1.25612,0.00133942,0.00133942,0.00133942
8,18.9296,1.09005,1.60246,1.26673,0.46866,0.33333,0.34824,0.1879,1.12884,2.28491,1.30013,0.00149884,0.00149884,0.00149884
9,20.4594,1.05531,1.49223,1.23229,0.62399,0.55556,0.56732,0.32666,1.06296,1.85618,1.21276,0.00164954,0.00164954,0.00164954
10,22.0744,1.02837,1.45822,1.20945,0.18273,0.2963,0.12809,0.05724,2.06731,4.91374,2.84359,0.0016436,0.0016436,0.0016436
11,23.6019,1.10925,1.49095,1.24187,0.38322,0.33333,0.28861,0.16457,1.98411,3.50584,2.39814,0.001604,0.001604,0.001604
12,25.1168,1.03366,1.47714,1.24418,0.21712,0.41975,0.18535,0.09586,1.76223,3.30572,2.06985,0.0015644,0.0015644,0.0015644
13,26.6152,0.97544,1.2963,1.16785,0.52485,0.4321,0.44908,0.30626,1.2474,2.40474,1.38672,0.0015248,0.0015248,0.0015248
14,28.1734,0.95546,1.25247,1.21891,0.5709,0.71605,0.58813,0.36749,1.0865,1.82529,1.18046,0.0014852,0.0014852,0.0014852
15,29.7266,1.02727,1.30002,1.22598,0.76044,0.39194,0.52614,0.34925,1.6329,2.27552,1.66006,0.0014456,0.0014456,0.0014456
16,31.37,0.8786,1.19863,1.11912,0.70551,0.74074,0.81767,0.61959,0.85626,1.39105,1.03611,0.001406,0.001406,0.001406
17,32.9349,0.96868,1.27687,1.16978,0.72124,0.79859,0.84558,0.65373,0.87048,1.17017,1.11802,0.0013664,0.0013664,0.0013664
18,34.4901,0.92915,1.21821,1.14815,0.80382,0.88889,0.87017,0.65687,0.78314,1.15291,1.04882,0.0013268,0.0013268,0.0013268
