geometry_item_id,item_type,source_row_numbers,source_candidate_ids,review_status,geometry_decision,corrected_bbox_xyxy,child_bboxes_json,target_candidate_ids,review_notes
row_023_expand_geometry,expand_geometry,23,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_001,unreviewed,,,,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_001,
row_024_expand_geometry,expand_geometry,24,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_002,unreviewed,,,,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_002,
row_025_expand_geometry,expand_geometry,25,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_003,unreviewed,,,,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_003,
row_026_expand_geometry,expand_geometry,26,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_004,unreviewed,,,,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_004,
row_027_expand_geometry,expand_geometry,27,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_005,unreviewed,,,,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_005,
row_039_expand_geometry,expand_geometry,39,Revision_Set_7_37f6066a_p0003_whole_002,unreviewed,,,,Revision_Set_7_37f6066a_p0003_whole_002,
row_040_expand_geometry,expand_geometry,40,Revision_Set_7_37f6066a_p0003_whole_003,unreviewed,,,,Revision_Set_7_37f6066a_p0003_whole_003,
row_041_expand_geometry,expand_geometry,41,Revision_Set_7_37f6066a_p0003_whole_004,unreviewed,,,,Revision_Set_7_37f6066a_p0003_whole_004,
row_042_expand_geometry,expand_geometry,42,Revision_Set_7_37f6066a_p0003_whole_005,unreviewed,,,,Revision_Set_7_37f6066a_p0003_whole_005,
row_043_expand_geometry,expand_geometry,43,Revision_Set_7_37f6066a_p0003_whole_006,unreviewed,,,,Revision_Set_7_37f6066a_p0003_whole_006,
row_044_expand_geometry,expand_geometry,44,Revision_Set_7_37f6066a_p0003_whole_007,unreviewed,,,,Revision_Set_7_37f6066a_p0003_whole_007,
merge_component_001,merge_component_geometry,18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_001 | 260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_002 | 260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_003 | 260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_004 | 260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_005,unreviewed,,,,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_001 | 260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_002 | 260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_003 | 260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_004 | 260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0002_whole_005,
merge_component_002,merge_component_geometry,34 | 37 | 39 | 41 | 44,Revision_Set_7_37f6066a_p0003_whole_002 | Revision_Set_7_37f6066a_p0003_whole_004 | Revision_Set_7_37f6066a_p0003_whole_007,unreviewed,,,,Revision_Set_7_37f6066a_p0003_whole_002 | Revision_Set_7_37f6066a_p0003_whole_004 | Revision_Set_7_37f6066a_p0003_whole_007,
merge_component_003,merge_component_geometry,36 | 38 | 40 | 42 | 43,Revision_Set_7_37f6066a_p0003_whole_003 | Revision_Set_7_37f6066a_p0003_whole_005 | Revision_Set_7_37f6066a_p0003_whole_006,unreviewed,,,,Revision_Set_7_37f6066a_p0003_whole_003 | Revision_Set_7_37f6066a_p0003_whole_005 | Revision_Set_7_37f6066a_p0003_whole_006,
row_009_split_geometry,split_geometry,9,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001,unreviewed,,,,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001,
row_010_split_geometry,split_geometry,10,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001,unreviewed,,,,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001,
row_015_split_geometry,split_geometry,15,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_006,unreviewed,,,,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_006,
row_031_tighten_adjust_geometry,tighten_adjust_geometry,31,Revision_Set_7_37f6066a_p0002_whole_001,unreviewed,,,,Revision_Set_7_37f6066a_p0002_whole_001,
