inspection_item_id,row_number,candidate_id,source_page_key,postprocessing_action,crop_status,gpt_status,gpt_decision,gpt_confidence,gpt_tags,recommended_next_step,gpt_notes
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_whole_001,1,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_whole_001,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0000,tighten_bbox,postprocessed_crop_regenerated,unreviewed,,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_001,2,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_001,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,split_child_bbox,postprocessed_crop_regenerated,unreviewed,,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_002,3,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_002,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,split_child_bbox,postprocessed_crop_regenerated,unreviewed,,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_003,4,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_003,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,split_child_bbox,postprocessed_crop_regenerated,unreviewed,,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_004,5,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_004,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,split_child_bbox,postprocessed_crop_regenerated,unreviewed,,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_005,6,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_005,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,split_child_bbox,postprocessed_crop_regenerated,unreviewed,,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_006,7,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_006,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,split_child_bbox,postprocessed_crop_regenerated,unreviewed,,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_002,8,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_002,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,tighten_bbox,postprocessed_crop_regenerated,unreviewed,,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_003,9,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_003,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,tighten_bbox,postprocessed_crop_regenerated,unreviewed,,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_004,10,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_004,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,tighten_bbox,postprocessed_crop_regenerated,unreviewed,,,,,
