inspection_item_id,row_number,candidate_id,source_page_key,postprocessing_action,crop_status,gpt_status,gpt_decision,gpt_confidence,gpt_tags,recommended_next_step,gpt_notes
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_whole_001,1,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_whole_001,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0000,tighten_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.970,single_visible_revision_cloud | bbox_well_aligned | complete_cloud | sufficient_context | revision_delta_present,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.97: One complete, clearly visible revision cloud is contained within the red bbox, with adequate surrounding plan context. The bbox is well aligned and does not appear to overmerge multiple separate clouds."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_001,2,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_001,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,split_child_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.950,visible_revision_cloud | single_cloud_in_bbox | complete_cloud | adequate_context | plumbing_plan,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.95: The red bbox contains one clearly visible, reasonably complete revision-clouded area around the '3"" DV' note. The crop includes sufficient surrounding plan context, and nearby other clouds are outside the bbox rather than merged into it."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_002,3,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_002,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,split_child_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.960,single_visible_revision_cloud | bbox_aligned | complete_cloud_inside_bbox | sufficient_context | nearby_other_clouds_outside_bbox,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.96: The red bbox tightly contains one complete visible revision cloud around the ""3\"" DV"" note, with enough surrounding drawing context. Other revision clouds are visible elsewhere in the crop but are separate and not included in the bbox."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_003,4,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_003,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,split_child_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.940,visible_revision_cloud | single_cloud_in_bbox | bbox_well_aligned | sufficient_context | postprocessed_split_child,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.94: The red bbox contains one clearly visible, reasonably complete revision cloud labeled 4"" DV UP. The box is well aligned around the cloud with adequate surrounding plan context; other clouds are visible elsewhere in the crop but are outside the candidate bbox and do not appear merged into it."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_004,5,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_004,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,split_child_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.950,visible_revision_cloud | single_cloud_in_bbox | complete_cloud | sufficient_context | plumbing_annotation,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.95: The red bbox contains one clearly visible, reasonably complete revision cloud around the '3"" DV' annotation. The bbox is aligned to the cloud and the crop includes adequate surrounding plan context. Other clouds are visible elsewhere in the crop but are separate and not included in the red bbox."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_005,6,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_005,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,split_child_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.950,visible_revision_cloud | single_cloud_in_bbox | bbox_well_aligned | sufficient_context | other_clouds_outside_bbox,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.95: The red bbox tightly encloses one complete visible revision-clouded callout labeled 4"" DV. Surrounding plan context is present, and nearby clouds are outside the bbox rather than merged into it."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_006,7,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001__postproc_child_006,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,split_child_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.940,visible_revision_cloud | single_cloud | bbox_aligned | sufficient_context | nearby_other_clouds_outside_bbox,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.94: The red bbox contains one clearly visible revision cloud around the '4"" DV' note. The cloud appears complete and the crop provides adequate surrounding drawing context. Other revision clouds are visible nearby but are separate and outside the candidate bbox."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_002,8,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_002,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,tighten_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.880,visible_revision_cloud | single_cloud_in_bbox | adequate_context | nearby_other_cloud_outside_bbox,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.88: The red bbox encloses one visible revision cloud around the '2 1/2"" DV' note with enough surrounding drawing context. A separate cloud is visible to the left but is outside the candidate bbox, so this does not appear to be an overmerge."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_003,9,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_003,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,tighten_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.930,visible_revision_cloud | single_cloud_in_bbox | tight_bbox | sufficient_context | other_clouds_outside_bbox,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.93: The red bbox tightly but adequately encloses one complete visible revision cloud around the '2 1/2"" DV' note. Surrounding plan context is present, and nearby separate clouds are outside the candidate bbox rather than merged."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_004,10,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_004,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,tighten_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.940,visible_revision_cloud | single_cloud | bbox_reasonably_aligned | sufficient_context | nearby_other_clouds_outside_bbox,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.94: The red bbox contains one clearly visible revision cloud around the '2 1/2"" DV' note. The cloud appears complete and reasonably aligned within the box, with sufficient surrounding plan context. Other revision clouds are visible nearby but are separate and outside the candidate bbox."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_005,11,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_005,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,tighten_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.950,visible_revision_cloud | single_cloud_in_bbox | bbox_tight | sufficient_context | plumbing_plan,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.95: The red bbox contains one clearly visible, reasonably complete revision cloud around the '2 1/2"" DV' note. The bbox is tight but not visibly clipping the cloud, and the crop includes sufficient surrounding plan context. Other clouds are present elsewhere in the crop but are separate and not merged into the candidate bbox."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_006__postproc_child_001,12,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_006__postproc_child_001,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,split_child_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.880,visible_revision_cloud | single_cloud_in_bbox | adequate_context | nearby_separate_clouds_outside_bbox,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.88: The red bbox encloses one visible revision cloud around the upper 4"" DV note. The cloud appears reasonably complete with adequate surrounding context. Nearby revision clouds are present outside the bbox, but the candidate box is not broadly overmerged across them."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_006__postproc_child_002,13,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_006__postproc_child_002,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,split_child_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.880,visible_revision_cloud | single_cloud_in_bbox | adjacent_cloud_nearby | sufficient_context | postprocessed_split_child,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.88: The red bbox contains one reasonably complete visible revision cloud around the lower “4"" DV” note. A separate cloud is close above it but is not included in the bbox, and the crop provides surrounding drawing context."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_007,14,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_007,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,tighten_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.930,visible_revision_cloud | single_cloud | bbox_aligned | sufficient_context | small_crop_candidate,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.93: One clearly visible revision-clouded area containing the text 3"" DV is reasonably complete inside the red bbox. The bbox is well aligned and the crop includes adequate surrounding plan context. Other clouds are visible elsewhere in the crop but are separate and outside the candidate bbox."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_008,15,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_008,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,tighten_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.920,visible_revision_cloud | single_cloud | adequate_context | bbox_aligned | postprocessed_tight_bbox,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.92: One complete visible revision cloud is contained within the red bbox around the '2 1/2"" DV' note. Nearby clouds are separate and outside the bbox; the crop provides sufficient surrounding plan context."
postproc_merge_component_001,16,postproc_merge_component_001,260303-VA_Biloxi_Rev_5_RFI-126:p0002,merge_component_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.960,visible_revision_cloud | single_cloud | complete_cloud | large_detail_cloud | bbox_well_aligned | sufficient_context,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.96: One large, clearly visible scalloped revision cloud surrounds the attic concrete joist restoration detail. The red bbox closely covers the full cloud with adequate surrounding context and does not appear to merge separate clouds."
260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0003_whole_001,17,260303-VA_Biloxi_Rev_5_RFI-126_56f520d9_p0003_whole_001,260303-VA_Biloxi_Rev_5_RFI-126:p0003,tighten_bbox,postprocessed_crop_regenerated,gpt_prefilled,accept_crop,0.970,visible_revision_cloud | single_cloud | bbox_aligned | sufficient_context | photo_callout,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.97: One clearly visible revision cloud surrounds the PHOTO 4-11 callout and is reasonably complete within the red bbox. The bbox is well aligned with adequate surrounding drawing context; adjacent photo labels are outside the candidate box."
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_whole_001,18,260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_whole_001,260309_-_Drawing_Rev2-_Steel_Grab_Bars:p0004,carried_through_not_flagged_by_diagnostic,source_crop_preserved,gpt_prefilled,accept_crop,0.960,visible_revision_cloud | single_cloud | bbox_aligned | sufficient_context | room_label_equipment_storage,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.96: One clearly visible revision cloud is centered within the red bbox around the Equipment Storage room label. The bbox covers the cloud reasonably completely with surrounding plan context and does not appear to merge multiple separate clouds."
260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_whole_002,19,260309_-_Drawing_Rev2-_Steel_Grab_Bars_75d983f3_p0004_whole_002,260309_-_Drawing_Rev2-_Steel_Grab_Bars:p0004,carried_through_not_flagged_by_diagnostic,source_crop_preserved,gpt_prefilled,accept_crop,0.950,visible_revision_cloud | single_cloud | complete_cloud_inside_bbox | sufficient_context | floor_plan,use_for_crop_inspection_or_export,"GPT-5.5 crop precheck, confidence 0.95: One clearly visible scalloped revision cloud surrounds the Sterile Instr. Storage room and is contained within the red bbox. The crop includes adequate surrounding plan context, and nearby separate clouds are outside the candidate bbox."
