review_item_id,row_number,diagnostic_id,diagnostic_family,source_page_key,candidate_ids,review_status,review_decision,target_candidate_ids,corrected_bbox_xyxy,review_notes
260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0000_loose_localization_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_whole_001,1,260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0000_loose_localization_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_whole_001,loose_localization_candidate,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0000,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_whole_001,unreviewed,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_006,2,260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_006,fragment_merge_candidate,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_006,unreviewed,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_007,3,260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_007,fragment_merge_candidate,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_007,unreviewed,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_008,4,260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_008,fragment_merge_candidate,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_008,unreviewed,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_002_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_003,5,260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_002_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_003,fragment_merge_candidate,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_002 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_003,unreviewed,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_003_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_004,6,260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_003_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_004,fragment_merge_candidate,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_003 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_004,unreviewed,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_004_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_005,7,260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_004_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_005,fragment_merge_candidate,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_004 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_005,unreviewed,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_007_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_008,8,260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_007_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_008,fragment_merge_candidate,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_007 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_008,unreviewed,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_overmerge_split_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001,9,260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_overmerge_split_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001,overmerge_split_candidate,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001,unreviewed,,,,
260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_loose_localization_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001,10,260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_loose_localization_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001,loose_localization_candidate,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001,unreviewed,,,,
