review_item_id,row_number,diagnostic_id,diagnostic_family,source_page_key,candidate_ids,review_status,review_decision,target_candidate_ids,corrected_bbox_xyxy,review_notes
260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0000_loose_localization_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_whole_001,1,260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0000_loose_localization_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_whole_001,loose_localization_candidate,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0000,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_whole_001,reviewed,tighten,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0000_whole_001,"[6133.614, 5465.639, 6536.142, 5602.218]","GPT-5.5 prefill, confidence 0.93: Loose-localization row: the red candidate box is materially larger than the visible revision cloud, with excess whitespace on all sides. The amber tight-member bbox closely matches the cloud geometry and is suitable for tightening."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_006,2,260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_006,fragment_merge_candidate,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_006,reviewed,reject_merge,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_006,,"GPT-5.5 prefill, confidence 0.97: Do not merge. The large candidate whole_001 is a broad overmerge containing many separated revision cloud bubbles across the plan, while whole_006 is a separate lower-left group. They are not fragments of one whole revision cloud."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_007,3,260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_007,fragment_merge_candidate,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_007,reviewed,reject_merge,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_007,,"GPT-5.5 prefill, confidence 0.93: Reject merge. The left/blue candidate is a broad overmerge containing multiple separated revision cloud marks across a large vertical area, while the right/red candidate is a distinct single cloud. Per fragment-merge policy, do not merge when either candidate is overmerged; whole_001 likely needs split handling separately."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_008,4,260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_008,fragment_merge_candidate,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_008,reviewed,reject_merge,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_008,,"GPT-5.5 prefill, confidence 0.95: Do not merge. Candidate whole_001 is a broad overmerge containing multiple separated revision clouds, while whole_008 is a separate single cloud to the right. This fragment-merge row should be rejected rather than combining them."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_002_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_003,5,260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_002_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_003,fragment_merge_candidate,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_002 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_003,reviewed,reject_merge,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_002 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_003,,"GPT-5.5 prefill, confidence 0.95: The two boxes enclose distinct revision cloud instances with a clear horizontal gap between them. They are adjacent along the same line but not fragments of one continuous cloud."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_003_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_004,6,260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_003_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_004,fragment_merge_candidate,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_003 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_004,reviewed,reject_merge,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_003 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_004,,"GPT-5.5 prefill, confidence 0.95: The two candidate boxes enclose distinct revision clouds in adjacent rooms with clear horizontal separation; they are not fragments of a single cloud. Do not merge."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_004_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_005,7,260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_004_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_005,fragment_merge_candidate,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_004 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_005,reviewed,reject_merge,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_004 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_005,,"GPT-5.5 prefill, confidence 0.93: The two boxes enclose distinct, separated revision cloud bubbles around separate 2 1/2"" DV notes. They are horizontally adjacent with similar vertical position but not connected, so they should remain separate candidates."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_007_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_008,8,260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_fragment_merge_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_007_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_008,fragment_merge_candidate,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_007 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_008,reviewed,reject_merge,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_007 | 260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_008,,"GPT-5.5 prefill, confidence 0.95: The two boxes correspond to separate visible revision clouds: lower 3"" DV cloud and upper 2 1/2"" DV cloud. They are close/weakly overlapping but not fragments of one continuous cloud, so they should remain separate."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_overmerge_split_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001,9,260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_overmerge_split_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001,overmerge_split_candidate,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001,reviewed,split,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001,,"GPT-5.5 prefill, confidence 0.92: Red candidate bbox spans multiple distinct revision cloud callouts separated across the plan area rather than one continuous/grouped cloud. This appears to be an overmerged candidate and should be split into separate clouds/groups."
260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_loose_localization_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001,10,260219_-_VA_Biloxi_Rev_4_Plumbing_1_p0001_loose_localization_candidate_260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001,loose_localization_candidate,260219_-_VA_Biloxi_Rev_4_Plumbing_1:p0001,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001,reviewed,split,260219_-_VA_Biloxi_Rev_4_Plumbing_1_bed93137_p0001_whole_001,,"GPT-5.5 prefill, confidence 0.86: The red candidate box encloses several spatially separated revision cloud bubbles rather than one continuous cloud/group. The amber tight-member box would reduce the loose margins but still contains multiple distinct clouds, so splitting is preferred over simple tightening."
