revision_label,revision_date,revision_set,source_pdf,index_page_index,row_number,sheet_number,sheet_name,x_position
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,2,GI001.1,SHEET INDEX,"912.1,408.3"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,4,GI102,3RD FLOOR CODE ANALYSIS,"1761.5,442.8"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,6,GI104,5TH FLOOR CODE ANALYSIS,"912.1,477.3"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,7,GI105,ATTIC CODE ANALYSIS,"912.1,494.6"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,13,SF100,3RD FLOOR FRAMING PLAN,"912.1,615.3"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,14,SF110,4TH FLOOR FRAMING PLAN,"912.1,632.6"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,17,S140,STRUCTURAL DETAILS,"1761.5,684.3"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,19,S142,STRUCTURAL DETAILS,"1761.5,718.8"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,20,S143,FRP REPAIR DETAILS,"1761.5,736.1"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,21,S150,STRUCTURAL DETAILS,"1761.5,753.3"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,22,S151,STRUCTURAL DETAILS,"1761.5,770.6"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,25,S162,PHOTO LOCATION PLAN,"1761.5,822.3"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,28,S165,STRUCTURAL REPAIR PHOTOS,"2608.9,874.1"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,29,S401,STRUCTURAL NOTES - WATER INTRUSION,"2608.9,891.3"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,30,S402,BUILDING ELEVATIONS,"2608.9,908.6"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,31,S403,BUILDING ELEVATIONS,"2608.9,925.8"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,32,S404,WINDOW OPENING TYPES,"1761.5,943.1"
REVISION #1,10/10/2025,Revision #2 - Mod 5 grab bar supports,F:\Desktop\drawing_revision\revision_sets\Revision #2 - Mod 5 grab bar supports\260309 - Drawing Rev2- Steel Grab Bars.pdf,3,33,S405,WINDOW OPENING TYPES,"1761.5,960.3"
