revision_label,revision_date,revision_set,source_pdf,index_page_index,row_number,sheet_number,sheet_name,x_position
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,2,GI001.1,SHEET INDEX,"912.1,373.8"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,4,GI102,3RD FLOOR CODE ANALYSIS,"1761.5,408.3"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,6,GI104,5TH FLOOR CODE ANALYSIS,"912.1,442.8"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,7,GI105,ATTIC CODE ANALYSIS,"912.1,460.1"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,13,SF100,3RD FLOOR FRAMING PLAN,"912.1,580.8"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,14,SF110,4TH FLOOR FRAMING PLAN,"912.1,598.1"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,17,S140,STRUCTURAL DETAILS,"1761.5,649.8"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,19,S142,STRUCTURAL DETAILS,"1761.5,684.3"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,20,S143,FRP REPAIR DETAILS,"1761.5,701.6"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,21,S150,STRUCTURAL DETAILS,"1761.5,718.8"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,22,S151,STRUCTURAL DETAILS,"1761.5,736.1"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,25,S162,PHOTO LOCATION PLAN,"1761.5,787.8"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,28,S165,STRUCTURAL REPAIR PHOTOS,"2608.9,839.6"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,29,S401,STRUCTURAL NOTES - WATER INTRUSION,"2608.9,856.8"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,30,S402,BUILDING ELEVATIONS,"2608.9,874.1"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,31,S403,BUILDING ELEVATIONS,"2608.9,891.3"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,32,S404,WINDOW OPENING TYPES,"1761.5,908.6"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,33,S405,WINDOW OPENING TYPES,"1761.5,925.8"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,34,S406,PUNCHED WINDOW ATTACHMENTS,"1761.5,943.1"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,38,AD101,DEMOLITION - 1ST FLOOR PLAN,"2608.9,1029.3"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,40,AD103,DEMOLITION - 3RD FLOOR PLAN,"912.1,1063.8"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,41,AD104,DEMOLITION - 4TH & 5TH FLOOR PLAN,"912.1,1081.1"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,42,AD105,DEMOLITION - ATTIC & ROOF PLAN,"912.1,1098.3"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,44,AD203,DEMOLITION - EXTERIOR ELEVATIONS,"2608.9,1132.8"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,50,AD501,DEMOLITION - DETAILS,"2608.9,1236.3"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,55,AD701,EXISTING CONDITIONS - PHOTOGRAPHS,"1761.5,1322.6"
REVISION #1,10/10/2025,Revision #1 - Drawing Changes,F:\Desktop\drawing_revision\revision_sets\Revision #1 - Drawing Changes\Revision #1 - Drawing Changes.pdf,0,56,AD702,EXISTING CONDITIONS - PHOTOGRAPHS,"1761.5,1339.8"
